Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.5296545819178827,85.34333333333333,0.2833127513836334,91.94
2,0.33664600072956796,90.315,0.22521863748455884,93.46
3,0.2963574191749985,91.39166666666667,0.2093514788504334,94.07
4,0.27335739859354014,92.02333333333333,0.19029303646059173,94.28
5,0.26078548976607413,92.42333333333333,0.18323228117612422,94.52
6,0.24599814915390156,92.82666666666667,0.16009798110611026,95.39
7,0.23796485869615064,93.04333333333334,0.15327093098016017,95.5
8,0.22726516824350682,93.43333333333334,0.14695349327069085,95.88
9,0.22236057569080198,93.52,0.13992653873149946,95.88
10,0.2192651462802755,93.56833333333333,0.14687675103592646,95.67
